Aspecto,Contexto,T1,T2,T3,T4,CD (s),Uptime,Limites,Notas
Sortudo,Redução 50% fatal/crítico,20%,25%,30%,35%,60,<=0.20 ICD,"DR aplicável a dano crítico; não acumula invencibilidade"
Passo Pequeno,Velocidade +0.01 fora de combate,+0.01,+0.01,+0.01,+0.01,30,<=0.33,"Velocidade total <= +0.05","Ativa 10s após sair de combate"
Iniciativa Íntima,Esquiva / Knockback,10%/15%,12%/17%,14%/18%,15%/20%,45,6s,"Esquiva adicional não ultrapassa caps","Sem custo, HUD atualiza placeholder"
Furtividade Natural,+Stealth em sombra,15%,15%,15%,15%,36,<=0.60,"Aplicável em biomas sombreados","Reduce detection 15%"
Leveza Graciosa,+Velocidade ao entrar combate,+0.02,+0.02,+0.02,+0.02,45,6s,"Velocidade total <= +0.05","ICD garante uptime <=40%"
Esquiva Halfling,Ignorar 1 ataque físico,N/A,N/A,N/A,N/A,75,2s janela,"Sem custo adicional","Cancela somente dano físico"
Passo Silencioso,Dash 5 blocos + Invis,5b/2s,5b/2s,5b/2s,5b/2s,60->50,2s,"Dash <=8 blocos","Remove slows leves"
Sorte em Dobro,Multiplicador Sortudo,2x,2x,2x,2x,210,10s,"Dano -10%","Respeita ICD de Sortudo"
Robustez Stout,Mitigação veneno,10%,12%,14%,15%,40,10s,"Mitigação total <=45%","DR aplicado com outras fontes"
Resiliência Compacta,Knockback -10%,-10%,-10%,-10%,-10%,30,8s,"Uptime <=0.60","Sem imunidade"
Forte Como Pedra,Mitigação global,20%,22%,23%,25%,90,6s,"Cap 45%","Compartilha DR"
Respirar Fundo,Cura + Resist DOT,12% heal,12% heal,12% heal,12% heal,75,Instant/4-5s,"Cura <=25%","Remove veneno/queimadura"
Imutável,Imunidade knockback + Mitigação,15%,16%,17%,18%,210,8s,"Cap 45%","Ultimate"
